CODE,fi
NAME,suomi
FIF_DESC,Etsi ja järjestä assettisi
FIF_SET_DM,Poista virheenkorjausloki käytöstä
FIF_SET_DMTP,"Jos valittu, virheenkorjausviestit eivät tallennu lokiin."
FIF_SET_CMT,Keskitä päätyökalurivi
FIF_SET_CMTTP,"Päätyökalurivi keskitetään, jos se ylittää tietyn pituuden."
FIF_SET_UL,Avaa kaikki
FIF_SET_ULTP,"Voit valita ja asettaa esineitä, vaikka ne olisivat lukittuja."
FIF_SET_BP,"Korjaa huonoja proppeja, seuraavalla kerralla, kun tallennus ladataan"
FIF_SET_BPTP,"Poista kaikki propit, jotka aiheuttavat ongelmia. Tarkista asetus ja lataa tallennuksesi."
FIF_SE_WF,Mukautettu
FIF_SE_VF,Vanilla
FIF_SE_IA,Kaikki
FIF_SE_IN,Verkko
FIF_SE_IP,Plopattava
FIF_SE_IG,Kasvava
FIF_SE_IR,RICO
FIF_SE_IPR,Prop
FIF_SE_ID,Decal
FIF_SE_IT,Puu
FIF_SE_LV,Rakennuksen taso
FIF_SE_SZ,Koko:
FIF_SE_SC,Pidä pohjassa SHIFT tai CTRL valitaksesi useamman kategorian
FIF_PLOP_E,Sähkö
FIF_PLOP_W,Vesi/Jätevesi
FIF_PLOP_G,Roskat
FIF_PLOP_H,Terveydenhuolto
FIF_PLOP_F,Palokunta
FIF_PLOP_P,Poliisi
FIF_PLOP_ED,Koulutus
FIF_PLOP_PT,Julkinen liikenne
FIF_PLOP_PPW,Puisto/Aukio/Luonto
FIF_PLOP_U,Uniikit rakennukset
FIF_PLOP_I,Teollisuus
FIF_PLOP_D,Katastrofi
FIF_PLOP_C,Kampus
FIF_PLOP_V,Yliopistotason urheilu
FIF_PLOP_FI,Kalastus
FIF_GR_LDR,Matalan tiheyden asutus
FIF_GR_HDR,Korkean tiheyden asutus
FIF_GR_LDRE,Matalan tiheyden asutus EKO
FIF_GR_HDRE,Korkean tiheyden asutus EKO
FIF_GR_LDC,Matalan tiheyden kaupallinen
FIF_GR_HDC,Korkean tiheyden kaupallinen
FIF_GR_CE,Kaupallinen EKO
FIF_GR_O,Toimisto
FIF_GR_ITC,IT-rypäs
FIF_GR_GI,Yleinen teollisuus
FIF_GR_FAI,Maatalous
FIF_GR_FOI,Metsätalous
FIF_GR_OII,Öljyteollisuus
FIF_GR_ORI,Kaivosteollisuus
FIF_GR_LC,Vapaa-ajan kaupallinen
FIF_GR_TC,Matkailu
